"Gene","log2FC","padj","contrast","pathway_id","pathway_name"
"D1025.2",-4.10041797450461,3.4341216956656e-37,"N2: Treated vs Untreated","cel00630","Glyoxylate and dicarboxylate metabolism"
"D1025.2",-4.10041797450461,3.4341216956656e-37,"N2: Treated vs Untreated","cel00670","One carbon pool by folate"
"D1025.2",-4.10041797450461,3.4341216956656e-37,"N2: Treated vs Untreated","cel00785","Lipoic acid metabolism"
"D1025.2",-4.10041797450461,3.4341216956656e-37,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"D1025.2",-4.10041797450461,3.4341216956656e-37,"N2: Treated vs Untreated","cel01200","Carbon metabolism"
"F42D1.2",2.55277759220117,1.81075179580591e-18,"N2: Treated vs Untreated","cel00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"F42D1.2",2.55277759220117,1.81075179580591e-18,"N2: Treated vs Untreated","cel00270","Cysteine and methionine metabolism"
"F42D1.2",2.55277759220117,1.81075179580591e-18,"N2: Treated vs Untreated","cel00350","Tyrosine metabolism"
"F42D1.2",2.55277759220117,1.81075179580591e-18,"N2: Treated vs Untreated","cel00360","Phenylalanine metabolism"
"F42D1.2",2.55277759220117,1.81075179580591e-18,"N2: Treated vs Untreated","cel00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"F42D1.2",2.55277759220117,1.81075179580591e-18,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"T04C10.4",1.00122966748766,1.47335086466418e-22,"N2: Treated vs Untreated","cel04137","Mitophagy - animal"
"T04C10.4",1.00122966748766,1.47335086466418e-22,"N2: Treated vs Untreated","cel04141","Protein processing in endoplasmic reticulum"
"T04C10.4",1.00122966748766,1.47335086466418e-22,"N2: Treated vs Untreated","cel04212","Longevity regulating pathway - worm"
"Y70D2A.2",-2.0383370931659,2.61326282631313e-08,"N2: Treated vs Untreated","cel00511","Other glycan degradation"
"Y70D2A.2",-2.0383370931659,2.61326282631313e-08,"N2: Treated vs Untreated","cel00513","Various types of N-glycan biosynthesis"
"Y70D2A.2",-2.0383370931659,2.61326282631313e-08,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"R03A10.3",1.77378975640351,7.7233517264039e-09,"N2: Treated vs Untreated","cel00790","Folate biosynthesis"
"R03A10.3",1.77378975640351,7.7233517264039e-09,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"K09A9.2",1.05824677950566,1.31369098041744e-09,"N2: Treated vs Untreated","cel04148","Efferocytosis"
"F59F4.1",-1.19453905512195,1.72303683798779e-12,"N2: Treated vs Untreated","cel00071","Fatty acid degradation"
"F59F4.1",-1.19453905512195,1.72303683798779e-12,"N2: Treated vs Untreated","cel00410","beta-Alanine metabolism"
"F59F4.1",-1.19453905512195,1.72303683798779e-12,"N2: Treated vs Untreated","cel00592","alpha-Linolenic acid metabolism"
"F59F4.1",-1.19453905512195,1.72303683798779e-12,"N2: Treated vs Untreated","cel00640","Propanoate metabolism"
"F59F4.1",-1.19453905512195,1.72303683798779e-12,"N2: Treated vs Untreated","cel01040","Biosynthesis of unsaturated fatty acids"
"F59F4.1",-1.19453905512195,1.72303683798779e-12,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"F59F4.1",-1.19453905512195,1.72303683798779e-12,"N2: Treated vs Untreated","cel01200","Carbon metabolism"
"F59F4.1",-1.19453905512195,1.72303683798779e-12,"N2: Treated vs Untreated","cel01212","Fatty acid metabolism"
"F59F4.1",-1.19453905512195,1.72303683798779e-12,"N2: Treated vs Untreated","cel04146","Peroxisome"
"F20B4.6",-1.2669745637721,0.0120916875725102,"N2: Treated vs Untreated","cel00600","Sphingolipid metabolism"
"F20B4.6",-1.2669745637721,0.0120916875725102,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"F20B4.6",-1.2669745637721,0.0120916875725102,"N2: Treated vs Untreated","cel04382","Cornified envelope formation"
"F37F2.3",3.33421415112988,0.000994650134288588,"argk-2: Treated vs Untreated","cel00480","Glutathione metabolism"
"F37F2.3",3.33421415112988,0.000994650134288588,"argk-2: Treated vs Untreated","cel00980","Metabolism of xenobiotics by cytochrome P450"
"F37F2.3",3.33421415112988,0.000994650134288588,"argk-2: Treated vs Untreated","cel00982","Drug metabolism - cytochrome P450"
